ff02::c	Private Use
108.177.15.100	Google LLC,US
65.55.223.22	Microsoft Corporation,US
111.221.77.141	Microsoft Microsoft Corp, Singapore,SG
111.221.77.140	Microsoft Microsoft Corp, Singapore,SG
111.221.77.143	Microsoft Microsoft Corp, Singapore,SG
104.123.211.39	Akamai Technologies, Inc.,US
216.58.198.99	Google LLC,US
111.221.77.147	Microsoft Microsoft Corp, Singapore,SG
111.221.77.149	Microsoft Microsoft Corp, Singapore,SG
185.35.56.228	VENOMIT Webservers,GB
255.255.255.255	Private Use
172.217.18.68	Google LLC,US
13.107.3.128	Microsoft Corporation,US
182.74.32.234	MASTER CAPITAL SERVICES LTD n/a IDC 4, Dhirubhai Ambani Knowledge City Thane- Belapur Road, Koparkhairane Mumbai MAHARASHTRA India Contact Person: TARANJEET SINGH Email: taranjeet@mastertrust.co.in Phone: 9814999973,IN
85.232.230.227	Gemius SA Postepu 18B 02-676 Warszawa,PL
151.101.36.102	Fastly,US
80.252.91.52	TeleCity Group Customer - Sizmek Technologies LTD,NL
77.75.79.9	Seznam.cz,CZ
168.63.124.19	Microsoft Corp,US
ff02::1:ff32:1a73	Private Use
157.56.192.186	Microsoft Corporation,US
10.0.2.255	Private Use
104.20.30.249	Cloudflare, Inc.,US
10.0.2.15	Private Use
111.221.77.174	Microsoft Microsoft Corp, Singapore,SG
ff02::fb	Private Use
168.63.15.132	Microsoft Corp,US
52.85.176.207	Amazon Technologies Inc.,US
111.221.77.173	Microsoft Microsoft Corp, Singapore,SG
157.56.52.47	Microsoft Corporation,US
103.6.85.35	Host Virtual, Inc,HK
131.253.61.82	Microsoft Corp,US
83.167.233.168	Internet Ventures s.r.o. Praha,CZ
104.238.150.145	Vultr Holdings, LLC,JP
216.58.206.13	Google LLC,US
180.144.109.152	K-Opticom Corporation K-Opti.com BLDG.18F,2-1-5 Shiromi,chuo-ku,Osaka 530-6116, Japan,JP
111.221.77.171	Microsoft Microsoft Corp, Singapore,SG
213.199.179.150	Microsoft Internet Data Center,IE
66.102.1.94	Google LLC,US
66.102.1.95	Google LLC,US
213.199.179.155	Microsoft Internet Data Center,IE
191.239.211.246	Microsoft Informatica Ltda,BR
52.85.173.90	Amazon Technologies Inc.,US
216.218.206.85	Hurricane Electric, Inc.,US
0.0.0.2	Private Use
64.4.23.168	Microsoft Corporation,US
106.188.50.67	KDDI CORPORATION GARDEN AIR TOWER,3-10-10,Iidabashi,Chiyoda-ku,Tokyo,JP
45.33.109.129	Linode,US
157.55.56.158	Microsoft Corporation,US
195.113.214.219	CESNET, z.s.p.o. Prague 6,CZ
52.88.7.60	Amazon Technologies Inc.,US
224.0.0.252	Private Use
111.221.77.169	Microsoft Microsoft Corp, Singapore,SG
89.248.172.154	QUASI,SC
1.1.1.1	APNIC and Cloudflare DNS Resolver project Routed globally by AS13335/Cloudflare Research prefix for APNIC Labs,AU
147.32.3.248	Prague,CZ
111.221.77.162	Microsoft Microsoft Corp, Singapore,SG
111.221.77.161	Microsoft Microsoft Corp, Singapore,SG
157.55.130.161	Microsoft Corporation,US
0.0.0.1	Private Use
157.55.56.153	Microsoft Corporation,US
13.79.239.69	Microsoft Corporation,US
52.212.19.208	Amazon Data Services Ireland Limited,IE
91.190.216.24	Skype Lu,LU
195.113.232.75	CESNET, z.s.p.o. Prague 6,CZ
195.113.214.206	CESNET, z.s.p.o. Prague 6,CZ
157.55.130.160	Microsoft Corporation,US
213.199.179.140	Microsoft Internet Data Center,IE
213.199.179.143	Microsoft Internet Data Center,IE
95.76.243.38	UPC Romania DHCP Pool,RO
109.160.93.209	LanULTRA Varna ISP in Varna for Asparuhovo and Galata regions,BG
213.199.179.147	Microsoft Internet Data Center,IE
157.55.56.155	Microsoft Corporation,US
108.177.15.94	Google LLC,US
157.55.56.152	Microsoft Corporation,US
157.55.130.141	Microsoft Corporation,US
