[7245] | From-Normal-UDP-DNS--82                                       | [36m147.32.80.9-147.32.86.186-63990-udp[0m       | 1
[7246] | From-Normal-UDP-DNS--83                                       | [36m147.32.80.9-192.168.88.159-57062-udp[0m      | 55.
[7247] | From-Normal-UDP-DNS--84                                       | [36m147.32.80.9-192.168.88.159-64443-udp[0m      | 55.
[7248] | From-Normal-TCP-HTTP-windowsupdate-1                          | [36m147.32.84.118-74.125.108.199-80-tcp[0m       | 9
[7249] | From-Normal-UDP-NTP--21                                       | [36m147.32.84.13-82.208.56.89-123-udp[0m         | 9
[7251] | From-Normal-TCP-HTTP--241                                     | [36m147.32.84.134-109.123.211.195-80-tcp[0m      | 88.W.Z.Z.Y.Y.H.H.h.Y.
[7250] | From-Normal-TCP-HTTP-IM-1                                     | [36m147.32.84.134-109.123.211.195-8950-tcp[0m    | 18,y,h,h,h,h,h,h,h,y,
[7252] | From-Normal-TCP-HTTP--242                                     | [36m147.32.84.134-109.123.211.197-80-tcp[0m      | 88.Y,Y.Y.
[7253] | From-Normal-TCP-HTTP--243                                     | [36m147.32.84.134-109.123.211.210-80-tcp[0m      | 99.I.Z,Z.Z.
[7254] | From-Normal-TCP-Other-PossibleIMAP-1                          | [36m147.32.84.134-147.32.192.34-993-tcp[0m       | 9
[7255] | From-Normal-UDP-DNS--85                                       | [36m147.32.84.134-147.32.80.9-53-udp[0m          | 11.A.R+R.A.R+R.a.R,R.A.R.R.a.R.R.d.R.R.a.R.R.r.r.r.D.R.R.R.R.R.r.R.R.r.R.R.R.R.r.R.R.A.r.r.r.r.A.r.A.R.R.A.r.r.r.R.A.R.R.r.R.R.R.R.R.R.r.R.R.r.R.R.r.R.R.r.R.R.r.R.R.r.R.R.R.R,R.r.A.A.A.R.R.A.R.R.r.U.U.S+S.b.b.d.R.R.a.R.R.D.U.U.U.U.r.R.a.R.U.R.U.R.R.a.U.U.U.u.R.U.U.U.v.u.R.U.R.U.R.U.R.U.U,U.V.u.D.U.U.U.S,R.A.A.R.U.R.U.r.U.U.D.U.U.U.u.u.u.u.U.U.U,U.R,R.a.U.U.U.U.V.v.u.U.U,U.R.R.D.R.U.D.u.u.u.U.U.u.U.U.U.U.d.R.U.R.U.D.u.u.d.u.U.R.D.s.u.D.D.d.u.D.S.b.b.d.R+R.A.U.U.U.U.U.U.V.D.v.v.R,U.r.D.U.U.u.u.u.U.U.D.u.U.D.U,U.U.U.U,U.V.R.R.a.U.U.U.R.R.U.R.U.R.U.R.r.U.R.R.D.R.R.r.R.R.R.r.R.A.R.R.U.U.R.R.r.R.r.A.R.R.D.D.R.u.R.r.R.D.s.r.r.A.r.r.r.r.r.U.r.r.A.r.A.A.A.r.r.R.U.R.R.D.r.R.R.R.r.R.u.D.u.u.r.u.r.r.A.u.R.R.U.R+R.d.R.U.r.u.u.U.u.U.U.u.U.R,R.U.R.R.r.A.r.r.A.U.R.R.R.r.R.R.r.R.R.D.R.R.R.r.R.R.U.r.u.u.U.r.R.u.U.U.R.R.u.R.R.r.R.R.A.U.U.U.U.R,R.r.R.R.R.R.R.a.a.A.r.r.r.R.A.r.R.U.r.A.U.r.u.u.R.R.R.a.R.R.R.R.r.R.R.R.R.r.r.r.A.r.r.A.r.A.r.r.A.r.R.R.r.r.R.R.r.r.R.R.U.R.r.R.R.R.R.R.R.R,R.r.U.U.U.u.U.U.U.U.U.U.V.D.v.u.R+U.u.u.A.D.D.u.U.U.U.U.U.R,R.A.S.s.b.b.d.R.R.D.R,R.u.R.R.E.R.R.D.R.U.R.R.d.R.R.R.R.U.R.u.r.R.A.S.r.R.A.r.R.R.D.U.R.r.R.S.R.R.U.U.R.R.R.R.R.R.R.A.A.r.A.a.A.r.r.A.A.r.R.U.r.u.r.r.a.R.r.U.R.r.R.u.R.R.r.R.R.u.R.R.A.R.R.D.S.r.R.R.U.s.R.V.R.U.R.V.R.V.R,R.d.
[7256] | From-Normal-TCP-HTTP--244                                     | [36m147.32.84.134-157.249.32.138-80-tcp[0m       | 99.z.i.i.Z.Z*Z,Z.Z.Z.Z.
[7257] | From-Normal-TCP-HTTP--245                                     | [36m147.32.84.134-160.68.117.20-80-tcp[0m        | 99.z.z.i.z.Z*Z.I.z.W.
[7258] | From-Normal-TCP-HTTP--246                                     | [36m147.32.84.134-160.68.205.231-80-tcp[0m       | 99*Z.Z.z.
